grope<br/>She groped <b><i>for</i></b> her glasses on the bedside table.<br/> I had to grope my <b><i>way</i></b> up the dark stairs.,"grope<br/>to feel with your hands, especially in order to find or move towards something when you cannot see easily: ",/ɡroʊp/<br/>[sound:grope.mp3]
non,,
"peculiarity<br/>You couldn't help but be aware <b><i>of</i></b> the peculiarity <br/> Well, we all have our little peculiarities, don't we?","peculiarity<br/>the quality of being strange or unusual, or an unusual characteristic or habit: ",/pɪˌkjuː.liˈer.ə.t̬i/<br/>[sound:peculiarity.mp3]
auxiliary<br/>auxiliary <b><i>staff</i></b>/nurses,auxiliary<br/>a person whose job is to give help or support to other workers: ,/ɑːɡˈzɪl.i.er.i/<br/>[sound:auxiliary.mp3]
non,directive<br/>an official instruction: ,/daɪˈrek.tɪv/<br/>[sound:directive.mp3]
criterion<br/>The Health Service should not be judged by financial criteria alone.,"C1<br/>criterion<br/>a standard by which you judge, decide about, or deal with something: ",/kraɪˈtɪr.i.ən/<br/>[sound:criterion.mp3]
non,,
non,,
exemption<br/>Candidates with a qualification in chemistry have exemption <b><i>from</i></b> this course.<br/> Organizations may qualify for exemption from income tax if they operate exclusively as charities.,exemption<br/>special permission not to do or pay something: ,/ɪɡˈzemp.ʃən/<br/>[sound:exemption.mp3]
non,,
hypotenuse<br/>,hypotenuse<br/>the longest side of any triangle that has one angle of 90°,/haɪˈpɑː.t̬ə.nuːz/<br/>[sound:hypotenuse.mp3]
incontestable<br/>There is now incontestable <b><i>evidence</i></b> that the killings did take place.,incontestable<br/>impossible to question because of being obviously true: ,/ˌɪn.kənˈtes.tə.bəl/<br/>[sound:incontestable.mp3]
"brake<br/>She had no brakes on her bicycle.<br/> The driver suddenly <b><i>put on</i></b> his brakes.<br/>informal I <b><i>slammed on</i></b> (= quickly used) the brakes, but it was too late.<br/> All our new models have <b><i>anti-lock</i></b> brakes.","B1<br/>brake<br/>a device that makes a vehicle go slower or stop, or a pedal, bar, or handle that makes this device work: ",/breɪk/<br/>[sound:brake.mp3]
analogue<br/>,analogue<br/>An analogue recording is one that is made by changing the sound waves into electrical signals of the same type.,/ˈæn.ə.lɑːɡ/<br/>[sound:analogue.mp3]
admissible<br/>The judge ruled that new <b><i>evidence</i></b> was admissible.,admissible<br/>considered satisfactory and acceptable in a law court: ,/ədˈmɪs.ə.bəl/<br/>[sound:admissible.mp3]
lever<br/>,"lever<br/>a bar or handle that moves around a fixed point, so that one end of it can be pushed or pulled in order to control the operation of a machine or move a heavy or stiff object",/ˈlev.ɚ/<br/>[sound:lever.mp3]
non,,
quotient<br/>This is a car with a high head-turning quotient (= a lot of people turn to look at it).,quotient<br/>a particular degree or amount of something: ,/ˈkwoʊ.ʃənt/<br/>[sound:quotient.mp3]
"coincide<br/>I timed my holiday to coincide <b><i>with</i></b> the children's.<br/> If the heavy rain had coincided <b><i>with</i></b> an extreme high tide, serious flooding would have resulted.",C2<br/>coincide<br/>to happen at or near the same time: ,/ˌkoʊ.ɪnˈsaɪd/<br/>[sound:coincide.mp3]
complement<br/>Strawberries and cream complement <b><i>each other</i></b> perfectly.<br/> The music complements her voice perfectly.,complement<br/>to make something else seem better or more attractive when combining with it: ,/ˈkɑːm.plə.ment/<br/>[sound:complement.mp3]
conjunction<br/>,"B2<br/>conjunction<br/>a word such as 'and', 'but', 'while', or 'although' that connects words, phrases, and clauses in a sentence",/kənˈdʒʌŋk.ʃən/<br/>[sound:conjunction.mp3]
disjunction<br/>the disjunctions between movies and the theatre,disjunction<br/>a difference or lack of connection between two things: ,/dɪsˈdʒʌŋk.ʃən/<br/>[sound:disjunction.mp3]
negation<br/>,negation<br/>the action of causing something to have no effect: ,/nɪˈɡeɪ.ʃən/<br/>[sound:negation.mp3]
residue<br/>She cut off the best meat and threw away the residue.<br/> The white residue <b><i>in/on</i></b> the kettle is a result of minerals in the water.,"residue<br/>the part that is left after the main part has gone or been taken away, or a substance that remains after a chemical process such as evaporation: ",/ˈrez.ə.duː/<br/>[sound:residue.mp3]
non,,
operand<br/>,"operand<br/>a number or quantity that has something done to it in a calculation. For example, in 7 + y, 7 and y are the operands. ",/ˈɑːp.ər.ənd/<br/>[sound:operand.mp3]
non,,
tabulate<br/>,tabulate<br/>to show information in the form of a table (= an arrangement of facts and numbers in rows or blocks),/ˈtæb.jə.leɪt/<br/>[sound:tabulation.mp3]
truncate<br/>Television coverage of the event was truncated by a technical fault.,"truncate<br/>to make something shorter or quicker, especially by removing the end of it: ",/trʌŋˈkeɪt/<br/>[sound:truncate.mp3]
"designate<br/>Traditionally, the president designates his or her successor.<br/> Thompson has been designated <b><i>(as/to be)</i></b> team captain.<br/> [ + <b><i>to</i></b> infinitive ] She has been designated ",designate<br/>to choose someone officially to do a particular job: ,/ˈdez.ɪɡ.neɪt/<br/>[sound:designate.mp3]
non,,
"exemplary<br/>His tact was exemplary, especially considering the circumstances.",exemplary<br/>very good and suitable to be copied by other people: ,/ɪɡˈzem.plɚ.i/<br/>[sound:exemplary.mp3]
non,,
interrelationship<br/>the interrelationship <b><i>between</i></b> smoking and respiratory disease,interrelationship<br/>the way in which two or more things or people are connected and affect one another: ,/ˌɪn.t̬ɚ.rɪˈleɪ.ʃən.ʃɪp/<br/>[sound:interrelation.mp3]
